product_id,product_name,product_price,product_image,product_link,product_store,product_category,product_ratings,rating_count,product_description,fetch_date
174,Samsung Galaxy S23 FE,"Rs. 196,799",https://images.priceoye.pk/samsung-galaxy-s23-fe-pakistan-priceoye-iluwf-270x270.webp,https://priceoye.pk/mobiles/samsung/samsung-galaxy-s23-fe,PriceOye,"MobilePhones, Samsung",5.0,1 Ratings,"{'Display': '6.4 inches', 'RAM': '8 GB', 'Battery': '4500 mAh', 'Back Camera': '50 MP + 8 MP + 12 MP'}",2023-12-03
175,Samsung Galaxy A13,"Rs. 45,799",https://images.priceoye.pk/samsung-galaxy-a13-pakistan-priceoye-f5zsh-270x270.webp,https://priceoye.pk/mobiles/samsung/samsung-galaxy-a13,PriceOye,"MobilePhones, Samsung",5.0,354 Ratings,"{'Display': '6.6 Inches', 'RAM': '4 GB', 'Battery': '5000 mAh', 'Back Camera': '50 MP + 5 MP + 2 MP + 2 MP'}",2023-12-03
176,Samsung Galaxy S22 Ultra,"Rs. 382,499",https://images.priceoye.pk/samsung-galaxy-s22-ultra-pakistan-priceoye-w6bkl-270x270.webp,https://priceoye.pk/mobiles/samsung/samsung-galaxy-s22-ultra,PriceOye,"MobilePhones, Samsung",5.0,92 Ratings,"{'Display': '6.8 inches', 'RAM': '12 GB', 'Battery': '5000 mAh', 'Back Camera': '108 MP + 10 MP + 10 MP + 12 MP'}",2023-12-03
177,Samsung Galaxy A04s,"Rs. 35,999",https://images.priceoye.pk/samsung-galaxy-a04s-pakistan-priceoye-6hglz-270x270.webp,https://priceoye.pk/mobiles/samsung/samsung-galaxy-a04s,PriceOye,"MobilePhones, Samsung",5.0,146 Ratings,"{'Display': '6.5', 'RAM': '3/4 GB', 'Battery': '5000 mAh', 'Back Camera': '50 MP + 2 MP + 2 MP'}",2023-12-03
178,Samsung Galaxy A54 5G,"Rs. 128,499",https://images.priceoye.pk/samsung-galaxy-a54-5g-pakistan-priceoye-vyzoh-270x270.webp,https://priceoye.pk/mobiles/samsung/samsung-galaxy-a54-5g,PriceOye,"MobilePhones, Samsung",5.0,27 Ratings,"{'Display': '6.4 inches', 'RAM': '8 GB', 'Battery': '5000 mAh', 'Back Camera': '12MP + 50MP + 5MP'}",2023-12-03
179,Samsung Galaxy Z Fold 5,"Rs. 526,999",https://images.priceoye.pk/samsung-galaxy-z-fold-5-pakistan-priceoye-v7du0-270x270.webp,https://priceoye.pk/mobiles/samsung/samsung-galaxy-z-fold-5,PriceOye,"MobilePhones, Samsung",5.0,2 Ratings,"{'Display': '7.6 inches', 'RAM': '12 GB', 'Battery': '4400 mAh', 'Back Camera': '12 MP + 50 MP + 10 MP'}",2023-12-03
180,Samsung Galaxy A24 4G,"Rs. 68,699",https://images.priceoye.pk/samsung-galaxy-a24-4g-pakistan-priceoye-xym8a-270x270.webp,https://priceoye.pk/mobiles/samsung/samsung-galaxy-a24-4g,PriceOye,"MobilePhones, Samsung",5.0,36 Ratings,"{'Display': '6.5 inches', 'RAM': '6 GB / 8 GB', 'Battery': '5000 mAh', 'Back Camera': '50 MP + 2 MP + 2 MP'}",2023-12-03
181,Samsung Galaxy Z Flip 4,"Rs. 194,999",https://images.priceoye.pk/samsung-galaxy-z-flip-4-pakistan-priceoye-fsy4p-270x270.webp,https://priceoye.pk/mobiles/samsung/samsung-galaxy-z-flip-4,PriceOye,"MobilePhones, Samsung",5.0,10 Ratings,"{'Display': '6.7 Inches', 'RAM': '8GB RAM', 'Battery': '3700 mAh', 'Back Camera': '12 MP + 12 MP'}",2023-12-03
182,Samsung Galaxy A04e,"Rs. 32,399",https://images.priceoye.pk/samsung-galaxy-a04e-pakistan-priceoye-1kwpq-270x270.webp,https://priceoye.pk/mobiles/samsung/samsung-galaxy-a04e,PriceOye,"MobilePhones, Samsung",5.0,54 Ratings,"{'Display': '6.5 Inches', 'RAM': '3 GB', 'Battery': '5000 mAh', 'Back Camera': '13 MP + 2 MP'}",2023-12-03
183,Samsung Galaxy A53 5G,"Rs. 128,999",https://images.priceoye.pk/samsung-galaxy-a53-pakistan-priceoye-wviys-270x270.webp,https://priceoye.pk/mobiles/samsung/samsung-galaxy-a53,PriceOye,"MobilePhones, Samsung",5.0,137 Ratings,"{'Display': '6.5 Inches', 'RAM': '8 GB', 'Battery': '5000 mAh', 'Back Camera': '64 MP + 12 MP + 5 MP + 5 MP'}",2023-12-03
184,Samsung Galaxy S22,"Rs. 265,999",https://images.priceoye.pk/samsung-galaxy-s22-pakistan-priceoye-k2kbm-270x270.webp,https://priceoye.pk/mobiles/samsung/samsung-galaxy-s22,PriceOye,"MobilePhones, Samsung",5.0,19 Ratings,"{'Display': '6.1 inches', 'RAM': '8 GB', 'Battery': '3700 mAh', 'Back Camera': '50 MP + 10 MP + 12 MP'}",2023-12-03
185,Samsung Galaxy S23 Ultra,"Rs. 504,999",https://images.priceoye.pk/samsung-galaxy-s23-ultra-pakistan-priceoye-7uysk-270x270.webp,https://priceoye.pk/mobiles/samsung/samsung-galaxy-s23-ultra,PriceOye,"MobilePhones, Samsung",5.0,10 Ratings,"{'Display': '6.8 inches', 'RAM': '12 GB', 'Battery': '5000 mAh', 'Back Camera': '200 MP + 10 MP + 10 MP + 12 MP'}",2023-12-03
186,Samsung Galaxy Z Flip 5,"Rs. 324,999",https://images.priceoye.pk/samsung-galaxy-z-flip-5-pakistan-priceoye-xks8x-270x270.webp,https://priceoye.pk/mobiles/samsung/samsung-galaxy-z-flip-5,PriceOye,"MobilePhones, Samsung",5.0,1 Ratings,"{'Display': '6.7 inches', 'RAM': '8 GB', 'Battery': '3700 mAh', 'Back Camera': '12 MP + 12 MP'}",2023-12-03
187,Samsung Galaxy S23,"Rs. 359,999",https://images.priceoye.pk/placeholder-product-mobile-270x270.webp,https://priceoye.pk/mobiles/samsung/samsung-galaxy-s23,PriceOye,"MobilePhones, Samsung",5.0,2 Ratings,"{'Display': '6.1 inches', 'RAM': '8 GB', 'Battery': '3900 mAh', 'Back Camera': '50 MP + 10 MP + 12 MP'}",2023-12-03
188,Samsung Galaxy A73,"Rs. 197,999",https://images.priceoye.pk/samsung-galaxy-a73-pakistan-priceoye-1x21k-270x270.webp,https://priceoye.pk/mobiles/samsung/samsung-galaxy-a73,PriceOye,"MobilePhones, Samsung",5.0,119 Ratings,"{'Display': '6.7 Inches', 'RAM': '8 GB', 'Battery': '5000 mAh', 'Back Camera': '108 MP + 12 MP + 5 MP + 5 MP'}",2023-12-03
189,Samsung Galaxy A33 5G,"Rs. 102,999",https://images.priceoye.pk/samsung-galaxy-a33-pakistan-priceoye-u6khl-270x270.webp,https://priceoye.pk/mobiles/samsung/samsung-galaxy-a33,PriceOye,"MobilePhones, Samsung",5.0,123 Ratings,"{'Display': '6.4 Inches', 'RAM': '8 GB', 'Battery': '5000 mAh', 'Back Camera': '48 MP + 8 MP + 2 MP + 5 MP'}",2023-12-03
190,Samsung Galaxy A32,"Rs. 79,999",https://images.priceoye.pk/samsung-galaxy-a32-pakistan-priceoye-6ok1x-270x270.webp,https://priceoye.pk/mobiles/samsung/samsung-galaxy-a32,PriceOye,"MobilePhones, Samsung",5.0,797 Ratings,"{'Display': '6.4 inches', 'RAM': '6 GB', 'Battery': '5000 mAh', 'Back Camera': '64 MP + 8 MP + 5 MP + 5 MP'}",2023-12-03
191,Samsung Galaxy A22,"Rs. 55,999",https://images.priceoye.pk/samsung-galaxy-a22-pakistan-priceoye-woctw-270x270.webp,https://priceoye.pk/mobiles/samsung/samsung-galaxy-a22,PriceOye,"MobilePhones, Samsung",5.0,80 Ratings,"{'Display': '6.4 inches', 'RAM': '4/6 GB', 'Battery': '5000 mAh', 'Back Camera': '48 MP + 8 MP + 2 MP + 2 MP'}",2023-12-03
192,Samsung Galaxy A23,"Rs. 74,199",https://images.priceoye.pk/samsung-galaxy-a23-pakistan-priceoye-ap7s8-270x270.webp,https://priceoye.pk/mobiles/samsung/samsung-galaxy-a23,PriceOye,"MobilePhones, Samsung",5.0,139 Ratings,"{'Display': '6.6 Inches', 'RAM': '6 GB', 'Battery': '5000 mAh', 'Back Camera': '50 MP + 5 MP + 2 MP + 2MP'}",2023-12-03
193,Samsung Galaxy S21 FE,"Rs. 189,999",https://images.priceoye.pk/samsung-galaxy-s21-fe-pakistan-priceoye-7d8x8-270x270.webp,https://priceoye.pk/mobiles/samsung/samsung-galaxy-s21-fe,PriceOye,"MobilePhones, Samsung",5.0,93 Ratings,"{'Display': '6.4 Inches', 'RAM': '6/8 GB', 'Battery': '4500 mAh', 'Back Camera': '12 MP + 12 MP + 08 MP'}",2023-12-03
